,klines_open_time,klines_open_price,klines_high_price,klines_low_price,klines_close_price,space 1,order_entry_time,order_entry_direction,order_price,order_quantity,space 2,long_position_entry_time,long_position_entry_direction,long_position_price,long_position_quantity,long_position_afford_range,long_position_liquidation,space 3,short_position_entry_time,short_position_entry_direction,short_position_price,short_position_quantity,short_position_afford_range,short_position_liquidation,LONG_Result,SHORT_Result,Property
0,2023-05-28 05:00:00,27167.98,27190.81,27128.41,27164.75,,,,,,,2023-05-27 22:00:00,多頭進場,26829.605341614908,3.22,28022.03224568668,23848.54,,2023-05-27 01:00:00,空頭進場,26383.20636363636,0.55,25210.61941414141,29314.67,,,10876.77869333333
0,2023-05-28 06:00:00,27164.75,27228.91,27164.75,27184.9,,,,,,,2023-05-27 22:00:00,多頭進場,26829.605341614908,3.22,28022.03224568668,23848.54,,2023-05-27 01:00:00,空頭進場,26383.20636363636,0.55,25210.61941414141,29314.67,,,10876.77869333333
0,2023-05-28 07:00:00,27184.9,27229.15,27182.01,27226.37,,,,,,,2023-05-27 22:00:00,多頭進場,26829.605341614908,3.22,28022.03224568668,23848.54,,2023-05-27 01:00:00,空頭進場,26383.20636363636,0.55,25210.61941414141,29314.67,,,10876.77869333333
0,2023-05-28 08:00:00,27226.38,27247.42,27178.36,27197.63,,,,,,,2023-05-27 22:00:00,多頭進場,26829.605341614908,3.22,28022.03224568668,23848.54,,2023-05-27 01:00:00,空頭進場,26383.20636363636,0.55,25210.61941414141,29314.67,,,10876.77869333333
0,2023-05-28 09:00:00,27197.63,27198.99,27136.01,27156.68,,,,,,,2023-05-27 22:00:00,多頭進場,26829.605341614908,3.22,28022.03224568668,23848.54,,2023-05-27 01:00:00,空頭進場,26383.20636363636,0.55,25210.61941414141,29314.67,,,10876.77869333333
0,2023-05-28 10:00:00,27156.69,27218.94,27147.19,27212.35,,,,,,,2023-05-27 22:00:00,多頭進場,26829.605341614908,3.22,28022.03224568668,23848.54,,2023-05-27 01:00:00,空頭進場,26383.20636363636,0.55,25210.61941414141,29314.67,,,10876.77869333333
0,2023-05-28 11:00:00,27212.34,27344.23,27153.75,27153.76,,,,,,,2023-05-27 22:00:00,多頭進場,26829.605341614908,3.22,28022.03224568668,23848.54,,2023-05-27 01:00:00,空頭進場,26383.20636363636,0.55,25210.61941414141,29314.67,,,10876.77869333333
0,2023-05-28 12:00:00,27153.76,27187.37,27100.02,27142.48,,,,,,,2023-05-27 22:00:00,多頭進場,26829.605341614908,3.22,28022.03224568668,23848.54,,2023-05-27 01:00:00,空頭進場,26383.20636363636,0.55,25210.61941414141,29314.67,,,10876.77869333333
0,2023-05-28 13:00:00,27142.49,27226.46,27134.75,27181.31,,2023-05-28 13:00:00,空頭進場,27142.49,0.27,,2023-05-27 22:00:00,多頭進場,26829.605341614908,3.22,28022.03224568668,23848.54,,2023-05-28 13:00:00,空頭進場,26633.214390243902,0.8200000000000001,25449.515972899728,29592.46,,,10876.77869333333
0,2023-05-28 14:00:00,27181.31,27239.99,27168.09,27190.21,,,,,,,2023-05-27 22:00:00,多頭進場,26829.605341614908,3.22,28022.03224568668,23848.54,,2023-05-28 13:00:00,空頭進場,26633.214390243902,0.8200000000000001,25449.515972899728,29592.46,,,10876.77869333333
