,index,Open Time,open,high,low,close,Close Time,EMA,RSI,BBL_70_1.6,BBM_70_1.6,BBU_70_1.6,BBB_70_1.6,BBP_70_1.6
347,1396,2021-06-13,35546.12,39380.0,34757.0,39020.57,2021-06-13 23:59:59.999000064,44566.85,42.45,33122.234662572315,48735.78199999998,64349.32933742764,64.07426616208875,0.07762122485827823
348,1397,2021-06-14,39020.56,41064.05,38730.0,40516.29,2021-06-14 23:59:59.999000064,44410.61,52.01,32848.77616458856,48461.76128571427,64074.74640683997,64.4342455036943,0.1976490654263317
349,1398,2021-06-15,40516.28,41330.0,39506.4,40144.04,2021-06-15 23:59:59.999000064,44300.91,55.49,32648.155634314186,48195.851142857115,63743.54665140004,64.51881288477746,0.25303185161307495
350,1399,2021-06-16,40143.8,40527.14,38116.01,38349.01,2021-06-16 23:59:59.999000064,44183.81,54.42,32435.182793099957,47940.90499999998,63446.6272069,64.68681476455242,0.24857330423054155
351,1400,2021-06-17,38349.0,39559.88,37365.0,38092.97,2021-06-17 23:59:59.999000064,44019.45,49.41,32156.14756950752,47689.41299999998,63222.67843049244,65.14345408484044,0.19934161487820995
352,1401,2021-06-18,38092.97,38202.84,35129.29,35819.84,2021-06-18 23:59:59.999000064,43852.51,48.71,31896.015645813965,47403.919428571404,62911.82321132884,65.42878297700622,0.1997998711172093
353,1402,2021-06-19,35820.48,36457.0,34803.52,35483.72,2021-06-19 23:59:59.999000064,43626.25,42.85,31563.29259693504,47085.03271428569,62606.77283163634,65.93067572677431,0.13713628017473878
354,1403,2021-06-20,35483.72,36137.72,33336.0,35600.16,2021-06-20 23:59:59.999000064,43396.89,42.03,31257.31638410462,46738.09828571427,62218.88018732393,66.24480870819441,0.13650484977945238
355,1404,2021-06-21,35600.17,35750.0,31251.23,31608.93,2021-06-21 23:59:59.999000064,43177.26,42.45,30980.151156878288,46389.54642857142,61798.94170026455,66.43477446118098,0.14990915482610234
356,1405,2021-06-22,31614.12,33298.78,28805.0,32509.56,2021-06-22 23:59:59.999000064,42851.54,33.51,30546.45295832737,45986.0337142857,61425.614470244036,67.14899941963023,0.0345756487351706
357,1406,2021-06-23,32509.56,34881.0,31683.0,33678.07,2021-06-23 23:59:59.999000064,42560.21,36.77,30271.216341758558,45542.24157142857,60813.26680109858,67.06312514599834,0.07328727523455907
358,1407,2021-06-24,33675.07,35298.0,32286.57,34663.09,2021-06-24 23:59:59.999000064,42309.93,40.89,30063.60874089478,45123.89214285714,60184.1755448195,66.7508173022097,0.1199001759367505
359,1408,2021-06-25,34663.08,35500.0,31275.0,31584.45,2021-06-25 23:59:59.999000064,42094.52,44.25,29935.241709928436,44716.81128571428,59498.38086150012,66.11191250351128,0.15992341901960086
360,1409,2021-06-26,31576.09,32730.0,30151.0,32283.65,2021-06-26 23:59:59.999000064,41798.23,37.07,29654.482703251037,44291.68671428571,58928.89072532038,66.09458838384509,0.06564120085025478
361,1410,2021-06-27,32283.65,34749.0,31973.45,34700.34,2021-06-27 23:59:59.999000064,41530.21,39.52,29401.23633103868,43895.64357142856,58390.050811818444,66.04029949716566,0.09943192643743425
362,1411,2021-06-28,34702.49,35297.71,33862.72,34494.89,2021-06-28 23:59:59.999000064,41337.88,47.2,29186.250598623516,43589.250428571424,57992.25025851933,66.08509982776478,0.19149619754582867
363,1412,2021-06-29,34494.89,36600.0,34225.43,35911.73,2021-06-29 23:59:59.999000064,41145.12,46.65,28971.8009580965,43287.275428571425,57602.74989904635,66.14172099649454,0.1929062516682434
364,1413,2021-06-30,35911.72,36100.0,34017.55,35045.0,2021-06-30 23:59:59.999000064,40997.7,50.94,28838.304491792194,42994.22857142857,57150.15265106494,65.85034573242031,0.24983941240484187
365,1414,2021-07-01,35045.0,35057.57,32711.0,33504.69,2021-07-01 23:59:59.999000064,40830.02,48.34,28646.09539328584,42726.47685714286,56806.858320999876,65.90939623192035,0.22722767217420678
366,1415,2021-07-02,33502.33,33977.04,32699.0,33786.55,2021-07-02 23:59:59.999000064,40623.61,43.99,28386.261831800966,42466.63942857143,56547.01702534189,66.31265287875465,0.1816736849930956
367,1416,2021-07-03,33786.54,34945.61,33316.73,34669.13,2021-07-03 23:59:59.999000064,40431.01,44.99,28143.530648915446,42219.15342857142,56294.7762082274,66.67884898956987,0.20045327441001784
