,index,Open Time,open,high,low,close,Close Time,EMA,RSI
895,1793,2022-07-15,20588.84,21200.0,20382.29,20830.04,2022-07-15 23:59:59.999000064,25702.99,48.18
896,1794,2022-07-16,20830.04,21588.94,20478.61,21195.6,2022-07-16 23:59:59.999000064,25576.03,51.25
897,1795,2022-07-17,21195.6,21684.54,20750.01,20798.16,2022-07-17 23:59:59.999000064,25441.44,47.88
898,1796,2022-07-18,20799.58,22777.63,20762.45,22432.58,2022-07-18 23:59:59.999000064,25356.68,59.76
899,1797,2022-07-19,22432.58,23800.0,21579.54,23396.62,2022-07-19 23:59:59.999000064,25301.47,64.9
900,1798,2022-07-20,23398.48,24276.74,22906.19,23223.3,2022-07-20 23:59:59.999000064,25242.93,63.31
901,1799,2022-07-21,23223.3,23442.77,22341.46,23152.19,2022-07-21 23:59:59.999000064,25184.03,62.63
902,1800,2022-07-22,23152.19,23756.49,22500.0,22684.83,2022-07-22 23:59:59.999000064,25113.63,58.12
903,1801,2022-07-23,22684.83,23000.77,21934.57,22451.07,2022-07-23 23:59:59.999000064,25038.63,55.92
904,1802,2022-07-24,22448.58,23014.64,22257.15,22579.68,2022-07-24 23:59:59.999000064,24969.37,56.9
905,1803,2022-07-25,22577.13,22666.0,21250.0,21310.9,2022-07-25 23:59:59.999000064,24866.31,45.92
906,1804,2022-07-26,21310.9,21347.82,20706.5,21254.67,2022-07-26 23:59:59.999000064,24764.57,45.5
907,1805,2022-07-27,21254.67,23112.63,21042.53,22952.45,2022-07-27 23:59:59.999000064,24713.53,58.21
908,1806,2022-07-28,22954.31,24199.72,22582.13,23842.93,2022-07-28 23:59:59.999000064,24689.0,63.13
909,1807,2022-07-29,23845.25,24442.66,23414.03,23773.75,2022-07-29 23:59:59.999000064,24663.22,62.51
910,1808,2022-07-30,23777.28,24668.0,23502.25,23643.51,2022-07-30 23:59:59.999000064,24634.5,61.27
911,1809,2022-07-31,23644.64,24194.82,23227.31,23293.32,2022-07-31 23:59:59.999000064,24596.72,57.89
912,1810,2022-08-01,23296.36,23509.68,22850.0,23268.01,2022-08-01 23:59:59.999000064,24559.29,57.64
913,1811,2022-08-02,23266.9,23459.89,22654.37,22987.79,2022-08-02 23:59:59.999000064,24515.02,54.78
914,1812,2022-08-03,22985.93,23647.68,22681.22,22818.37,2022-08-03 23:59:59.999000064,24467.23,53.04
915,1813,2022-08-04,22816.91,23223.32,22400.0,22622.98,2022-08-04 23:59:59.999000064,24415.28,51.0
916,1814,2022-08-05,22622.41,23472.86,22586.95,23312.42,2022-08-05 23:59:59.999000064,24384.21,57.31
917,1815,2022-08-06,23313.56,23354.36,22909.52,22954.21,2022-08-06 23:59:59.999000064,24343.93,53.41
918,1816,2022-08-07,22954.21,23402.0,22844.62,23174.39,2022-08-07 23:59:59.999000064,24310.99,55.44
919,1817,2022-08-08,23174.39,24245.0,23154.25,23810.0,2022-08-08 23:59:59.999000064,24296.87,60.82
920,1818,2022-08-09,23810.98,23933.25,22865.0,23149.95,2022-08-09 23:59:59.999000064,24264.57,53.51
921,1819,2022-08-10,23151.32,24226.0,22664.69,23954.05,2022-08-10 23:59:59.999000064,24255.82,59.92
922,1820,2022-08-11,23954.05,24918.54,23852.13,23934.39,2022-08-11 23:59:59.999000064,24246.76,59.7
923,1821,2022-08-12,23933.09,24456.5,23583.0,24403.68,2022-08-12 23:59:59.999000064,24251.18,63.21
924,1822,2022-08-13,24401.7,24888.0,24291.22,24441.38,2022-08-13 23:59:59.999000064,24256.54,63.49
925,1823,2022-08-14,24443.06,25047.56,24144.0,24305.24,2022-08-14 23:59:59.999000064,24257.91,61.65
926,1824,2022-08-15,24305.25,25211.32,23773.22,24094.82,2022-08-15 23:59:59.999000064,24253.32,58.77
927,1825,2022-08-16,24093.04,24247.49,23671.22,23854.74,2022-08-16 23:59:59.999000064,24242.09,55.55
928,1826,2022-08-17,23856.15,24446.71,23180.4,23342.66,2022-08-17 23:59:59.999000064,24216.76,49.27
929,1827,2022-08-18,23342.66,23600.0,23111.04,23191.2,2022-08-18 23:59:59.999000064,24187.87,47.54
930,1828,2022-08-19,23191.45,23208.67,20783.57,20834.39,2022-08-19 23:59:59.999000064,24093.4,29.75
931,1829,2022-08-20,20834.39,21382.85,20761.9,21140.07,2022-08-20 23:59:59.999000064,24010.21,33.28
932,1830,2022-08-21,21140.07,21800.0,21069.11,21515.61,2022-08-21 23:59:59.999000064,23939.94,37.5
933,1831,2022-08-22,21516.7,21548.71,20890.18,21399.83,2022-08-22 23:59:59.999000064,23868.39,36.72
934,1832,2022-08-23,21400.75,21684.87,20890.14,21529.12,2022-08-23 23:59:59.999000064,23802.49,38.28
935,1833,2022-08-24,21529.11,21900.0,21145.0,21368.08,2022-08-24 23:59:59.999000064,23733.92,37.04
936,1834,2022-08-25,21368.05,21819.88,21310.15,21559.04,2022-08-25 23:59:59.999000064,23672.65,39.57
937,1835,2022-08-26,21559.04,21886.77,20107.9,20241.05,2022-08-26 23:59:59.999000064,23575.99,30.36
938,1836,2022-08-27,20239.14,20402.93,19800.0,20037.6,2022-08-27 23:59:59.999000064,23476.32,29.21
939,1837,2022-08-28,20037.6,20171.18,19520.0,19555.61,2022-08-28 23:59:59.999000064,23365.87,26.62
940,1838,2022-08-29,19555.61,20433.62,19550.79,20285.73,2022-08-29 23:59:59.999000064,23279.11,36.01
941,1839,2022-08-30,20287.2,20576.25,19540.0,19811.66,2022-08-30 23:59:59.999000064,23181.43,33.02
942,1840,2022-08-31,19813.03,20490.0,19797.94,20050.02,2022-08-31 23:59:59.999000064,23093.23,35.94
943,1841,2022-09-01,20048.44,20208.37,19565.66,20131.46,2022-09-01 23:59:59.999000064,23009.8,36.97
944,1842,2022-09-02,20132.64,20441.26,19755.29,19951.86,2022-09-02 23:59:59.999000064,22923.66,35.6
945,1843,2022-09-03,19950.98,20055.93,19652.72,19831.9,2022-09-03 23:59:59.999000064,22836.56,34.66
946,1844,2022-09-04,19832.45,20029.23,19583.1,20000.3,2022-09-04 23:59:59.999000064,22756.67,37.19
947,1845,2022-09-05,20000.3,20057.27,19633.83,19796.84,2022-09-05 23:59:59.999000064,22673.29,35.38
948,1846,2022-09-06,19795.34,20180.0,18649.51,18790.61,2022-09-06 23:59:59.999000064,22563.92,28.04
