,klines_open_time,klines_open_price,klines_high_price,klines_low_price,klines_close_price,klines_EMA,RSI,space 1,order_entry_time,order_entry_direction,order_price,order_buy,order_quantity,order_profit,order_liquidation,space 2,Long Result,Short Result,Property
0,2022-12-29 00:00:00,16547.32,16664.41,16488.91,16633.47,17647.77,43.64,,2022-12-29 00:00:00,空頭進場,16547.32,480000.0,725.193,,,,,"Short Win : 0
Short Lose : 0
Uncertain : 0
Nothing : 1",1716249.9999999958
0,2022-12-30 00:00:00,16633.47,16677.35,16333.0,16607.48,17618.47,43.05,,,,,480000.0,,,,,,"Short Win : 0
Short Lose : 0
Uncertain : 0
Nothing : 1",1716249.9999999958
0,2022-12-31 00:00:00,16607.48,16644.09,16470.0,16542.4,17588.15,41.53,,,,,480000.0,,,,,,"Short Win : 0
Short Lose : 0
Uncertain : 0
Nothing : 1",1716249.9999999958
0,2023-01-01 00:00:00,16541.77,16628.0,16499.01,16616.75,17560.79,44.0,,,,,480000.0,,,,,,"Short Win : 0
Short Lose : 0
Uncertain : 0
Nothing : 1",1716249.9999999958
0,2023-01-02 00:00:00,16617.17,16799.23,16548.7,16672.87,17535.78,45.88,,,,,480000.0,,,,,,"Short Win : 0
Short Lose : 0
Uncertain : 0
Nothing : 1",1716249.9999999958
0,2023-01-03 00:00:00,16672.78,16778.4,16605.28,16675.18,17511.54,45.96,,,,,480000.0,,,,,,"Short Win : 0
Short Lose : 0
Uncertain : 0
Nothing : 1",1716249.9999999958
0,2023-01-04 00:00:00,16675.65,16991.87,16652.66,16850.36,17492.91,51.95,,,,,480000.0,,,,,,"Short Win : 0
Short Lose : 0
Uncertain : 0
Nothing : 1",1716249.9999999958
0,2023-01-05 00:00:00,16850.36,16879.82,16753.0,16831.85,17474.29,51.3,,,,,480000.0,,,,,,"Short Win : 0
Short Lose : 0
Uncertain : 0
Nothing : 1",1716249.9999999958
0,2023-01-06 00:00:00,16831.85,17041.0,16679.0,16950.65,17459.54,55.25,,,,,480000.0,,,,,,"Short Win : 0
Short Lose : 0
Uncertain : 0
Nothing : 1",1716249.9999999958
0,2023-01-07 00:00:00,16950.31,16981.91,16908.0,16943.57,17445.01,54.96,,,,,480000.0,,,,,,"Short Win : 0
Short Lose : 0
Uncertain : 0
Nothing : 1",1716249.9999999958
0,2023-01-08 00:00:00,16943.83,17176.99,16911.0,17127.83,17436.07,60.8,,,,,960000.0,,,,,,"Short Win : 0
Short Lose : 1
Uncertain : 0
Nothing : 0",1716249.9999999958
0,2023-01-09 00:00:00,17127.83,17398.8,17104.66,17178.26,17428.81,62.27,,,,,960000.0,,,,,,,1716249.9999999958
0,2023-01-10 00:00:00,17179.04,17499.0,17146.34,17440.66,17429.14,68.86,,,,,960000.0,,,,,,,1716249.9999999958
0,2023-01-11 00:00:00,17440.64,18000.0,17315.6,17943.26,17443.62,77.18,,,,,960000.0,,,,,,,1716249.9999999958
